date,ticker,pe,source,source_url,snapshot_fetched_at
2024-12-31,QQQ,34.94,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2025-01-31,QQQ,35.71,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2025-02-28,QQQ,34.72,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2025-03-31,QQQ,31.8505,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2025-04-30,QQQ,33.9501,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2025-05-31,QQQ,31.7447,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2025-06-30,QQQ,33.734,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2025-07-31,QQQ,34.5516,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2025-08-31,QQQ,32.8411,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2025-09-30,QQQ,32.6405,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2025-10-31,QQQ,35.3029,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2025-11-30,QQQ,34.8858,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2025-12-31,QQQ,33.6218,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2026-01-31,QQQ,33.2849,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2026-02-28,QQQ,33.3465,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2026-03-31,QQQ,32.4258,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2026-04-30,QQQ,31.9623,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2026-05-31,QQQ,33.8101,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2026-06-30,QQQ,33.8288,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2026-07-31,QQQ,31.6028,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2026-08-31,QQQ,29.155,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2026-09-15,QQQ,28.6241,World PE Ratio · QQQ ETF 市盈率,https://worldperatio.com/index/nasdaq-100/,2026-09-16T08:45:01.029Z
2015-09-30,SPY,15.1518,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2015-10-31,SPY,15.1518,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2015-11-30,SPY,16.3299,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2015-12-31,SPY,16.1332,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2016-01-31,SPY,15.0254,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2016-02-29,SPY,15.0254,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2016-03-31,SPY,16.0337,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2016-04-30,SPY,16.6236,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2016-05-31,SPY,16.6236,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2016-06-30,SPY,16.594,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2016-07-31,SPY,16.594,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2016-08-31,SPY,16.8672,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2016-09-30,SPY,16.4633,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2016-10-31,SPY,16.4633,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2016-11-30,SPY,16.407,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2016-12-31,SPY,17.0685,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2017-01-31,SPY,17.0685,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2017-02-28,SPY,17.3819,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2017-03-31,SPY,17.6267,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2017-04-30,SPY,17.6267,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2017-05-31,SPY,17.5068,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2017-06-30,SPY,17.5068,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2017-07-31,SPY,17.6499,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2017-08-31,SPY,17.6499,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2017-09-30,SPY,17.757,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2017-10-31,SPY,17.757,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2017-11-30,SPY,18.0992,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2017-12-31,SPY,18.0992,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2018-01-31,SPY,18.3087,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2018-02-28,SPY,16.9968,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2018-03-31,SPY,16.9968,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2018-04-30,SPY,16.4071,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2018-05-31,SPY,16.2693,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2018-06-30,SPY,16.2693,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2018-07-31,SPY,16.3636,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
